"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",314.2,11.2,0.5,1222.5,"충주",2750
"정상",264.1,11.2,5.9,22.55,"군위",48.7
"정상",293.2,11.1,0.5,47.73,"횡성",86.9
"정상",325.7,11.2,6.9,163.32,"남강",309.2
"정상",432.1,11.2,1.5,273.76,"섬진강",466
"정상",347.6,11.2,0.6,52.65,"보령",116.9
"정상",479.9,11.2,3.9,99.62,"장흥",191
"정상",356.8,11.2,4.5,452.72,"합천",790
"정상",636.8,11.2,7.3,5.62,"구천",10.02
"정상",636.8,11.2,7.3,3.2,"연초",5.22
"정상",486.8,11.2,0.7,456.02,"용담",815
"정상",390.8,11.2,1.6,32.35,"부안",50.3
"정상",356.6,11.2,3.6,5.99,"평림",10.26
"정상",278.8,11.2,2.5,83.34,"영주",181.1
"약한가뭄",228.3,11.2,3,894.77,"안동",1248
"약한가뭄",228.3,11.2,3,199.7,"임하",595
"정상",407.9,11.2,6.2,7.18,"대곡",36.16
"정상",407.9,11.2,6.2,4.97,"대암",13.14
"정상",407.9,11.2,6.2,6.84,"사연",30.34
"정상",407.9,11.2,6.2,1.41,"선암",2.02
"정상",326.4,11.2,1.5,847.3,"대청",1490
"정상",377.6,11.2,5.8,45.11,"밀양",73.6
"정상",296.2,11.2,5.2,9.03,"보현산",22.11
"정상",296.2,11.2,5.2,42.58,"영천",103.21
"정상",232.5,11.2,4.3,26.54,"김천부항",54.3
"정상",326.4,11.2,4.4,845.7,"대청",1490
"정상",356.6,11.2,3.9,5.97,"평림",10.26
"정상",390.8,11.2,2.6,32.3,"부안",50.3
