"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2019,"경상남도","함양군",6255305,4251393,625818,"낙동강","함양군"
2019,"인천광역시","강화군",6222700,11155340,352639,"한강","강화"
2019,"전라남도","목포시",345758,679593,88812,"영섬","목포"
2019,"전라남도","장성군",6006568,3827359,919977,"영섬","광주"
2019,"전라북도","무주군",4696037,2035279,110035,"금강","금산"
2019,"충청남도","태안군",10815288,6860254,47088,"금강","서산"
2019,"충청남도","홍성군",10736367,6317725,648845,"금강","홍성"
2019,"충청북도","괴산군",5845121,2794016,157170,"한강","충주"
2019,"충청북도","영동군",16288481,7673400,1237432,"금강","추풍령"
2019,"충청북도","제천시",19076541,6617220,902586,"한강","제천"
2019,"충청북도","진천군",12798917,11765131,2819150,"한강","천안"
2020,"강원도","철원군",4130403,4393006,234739,"한강","철원"
2020,"강원도","태백시",259346,438167,25000,"한강","태백"
2020,"강원도","홍천군",2237278,1670788,191085,"한강","홍천"
2020,"강원도","화천군",5395803,2764546,154621,"한강","북춘천"
2020,"경기도","수원시",1376431,1757207,637272,"한강","수원"
2020,"경기도","안산시",2172070,1126904,150577,"한강","인천"
2020,"경기도","안성시",16847750,16817140,1344130,"한강","수원"
2020,"경기도","하남시",2919834,1608001,1607732,"한강","서울"
2020,"경상남도","밀양시",5160840,3903195,264203,"낙동강","밀양"
2020,"경상남도","산청군",16079953,5717706,525948,"낙동강","산청"
2020,"경상남도","통영시",1181927,1758922,49143,"낙동강","통영"
2020,"경상북도","군위군",5504204,4128973,969308,"낙동강","대구"
2020,"경상북도","칠곡군",3243194,5599046,2755830,"낙동강","대구"
2020,"경상북도","포항시",3720451,4189466,3486838,"낙동강","포항"
2020,"인천광역시","강화군",7215968,10805190,354015,"한강","강화"
2020,"전라북도","남원시",18573938,6285376,909948,"영섬","남원"
2020,"전라북도","임실군",7639376,2721409,595727,"영섬","임실"
2020,"충청남도","서천군",10892596,4589652,926636,"금강","부여"
2020,"충청북도","음성군",17696488,12433763,6353549,"한강","충주"
2021,"강원도","강릉시",5817222,6436658,1293578,"한강","강릉"
2021,"강원도","홍천군",2210473,1610098,190993,"한강","홍천"
2021,"경기도","수원시",1462416,1959954,593591,"한강","수원"
2021,"경기도","오산시",839830,956919,675252,"한강","수원"
2021,"경기도","의왕시",1359777,1472239,94839,"한강","서울"
2021,"경기도","평택시",5838358,8843113,4788030,"한강","수원"
2021,"경상남도","진주시",29066643,7643868,1490005,"낙동강","진주"
2021,"경상북도","김천시",23088795,12526067,1050496,"낙동강","구미"
2021,"경상북도","문경시",5508804,7992929,404092,"낙동강","문경"
2021,"경상북도","봉화군",6126030,1847985,371532,"낙동강","봉화"
2021,"경상북도","영주시",5893561,3313593,995406,"낙동강","영주"
2021,"전라남도","곡성군",14507278,8152809,2532657,"영섬","남원"
2021,"전라남도","담양군",65617421,6708897,1661234,"영섬","광주"
2021,"전라남도","무안군",17967176,2508147,73395,"영섬","목포"
2021,"전라남도","보성군",6858110,3408213,201721,"영섬","보성군"
2021,"대전광역시","대전광역시",7009265,16761231,1260062,"금강","대전"
2020,"대전광역시","대전광역시",6791211,17265171,1302688,"금강","대전"
2019,"대전광역시","대전광역시",6124528,17714163,1384529,"금강","대전"
2021,"전라남도","영광군",11936629,2701603,302925,"영섬","영광군"
2021,"전라북도","김제시",15289681,7088647,1969830,"금강","부안"
2021,"전라북도","정읍시",19125061,5478203,56221,"금강","정읍"
2021,"충청남도","계룡시",820918,747042,113906,"금강","대전"
2021,"충청남도","공주시",33135054,19206978,1089907,"금강","세종"
